,asin,category,color,description,details,name,size,department,demographic,division,subcategory,type,detail_type
0,B007WA2TCS,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
1,B007WA2U7W,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
2,B007WA2VB2,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
3,B007WA2ZTA,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
4,B007WA3558,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
5,B007WA38IM,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
6,B007WA38OG,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
7,B007WA397M,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
8,B007WA3B5C,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
9,B007WA3CUQ,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
10,B007WA3GMK,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
11,B007WA3HLK,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
12,B007WA3JE0,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
13,B007WA3PD0,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
14,B007WA48E0,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
15,B007WA49DA,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
16,B007WA4CQ4,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
17,B007WACT6Y,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
18,B007WACX3I,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
19,B007WACY5K,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
20,B007WAD2QU,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
21,B007WADBUC,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
22,B007WADJ7M,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
23,B007WADN4G,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
24,B007WADRBK,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
25,B007WADUOY,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
26,B007WAEB10,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
27,B007WAEBPQ,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
28,B007WAEU5C,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
29,B007WAEV9C,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
30,B007WAF02E,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
31,B007WAF76I," Tops, Tees & Blouses ",missing,"100% Polyester Drawstring closure Machine wash Plaids, Drawstring Hoodie Long Sleeves Buttoned Flap Patch Pockets, Single Breasted Machine Wash Inside Out Model Body Size: Height: 5'6"", Chest: 33 7/8 inches, Waist: 24 3/4 inches, Hip: 34 5/8 inches, model is wearing a Small",missing,Allegra K Women's Button Down Plaids Drawstring Hooded Shirt,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,Blouses & Button-Down Shirts,,
32,B007WAF8TO,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
33,B007WAF9LQ,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
34,B007WAFEWU,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
35,B007WAFEYI,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
36,B007WAFIEE,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
37,B007WAFIGM,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
38,B007WAFN4E,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
39,B007WAFZTW,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
40,B007WASI32," Tops, Tees & Blouses ",missing,"Polyester Bust Girth : 33 inches;Waist Girth : 25 inches;Hip Girth : 35 inches Shoulder Width : 47cm/ 18.5inches;Sleeve Length : 14cm/ 5.5inches;Total Length : 67cm/ 26.3inches Color : Black;Material : Cotton Blends,Polyester;Net Weight : 184g Package Content : 1 x Shirt",missing,Allegra K Ladies Scoop Neck Short Sleeve Loose Shirt,missing,"Clothing, Shoes & Jewelry ", Women , Clothing ,Blouses & Button-Down Shirts,,
41,B007WASL66,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
42,B007WAT3I6,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
43,B007WAT69W,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
44,B007WAT8IG,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
45,B007WATABQ,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
46,B007WATBLU,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
47,B007WATI18,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
48,B007WAU1VY,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
49,B007WAU2OK,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
50,B007WB4OIY,,unknown color,unknown details,missing,unknown product name,missing,unknown category,,,,,
51,B007WDOND8,Wrist Watches,unavailable,"Imported Black Color, 1 pcs Led digital watch ,Stylish and fashion, Display time in numbers indicate the hour, minutes You can use it as a mirror when the watch is in standby Win this cice watch gift for him for her or for yourself",missing,"Mirror Men Lady LED Digital Sport Unisex Watch Gift,- Black Colors",missing,"Clothing, Shoes & Jewelry ", Men , Watches ,,,
